Company,Role,Tier,Applied Date,Stage,Next Step,Next Date,Contact Name,Contact Email,Referral,Notes,Priority
PhonePe,Engineering Manager - Payments,Tier 1,,,,,,,No,Direct competitor domain match,High
PhonePe,Staff Engineer - Platform,Tier 1,,,,,,,No,IC track option,High
Groww,Engineering Manager,Tier 1,,,,,,,No,Investment platform fast growing,High
CRED,Engineering Manager,Tier 1,,,,,,,No,Premium brand good comp,High
Swiggy,Senior EM - Payments,Tier 1,,,,,,,No,Large scale payments team,High
Flipkart,Engineering Manager,Tier 1,,,,,,,No,Walmart backed stability,High
Google,Engineering Manager,Tier 2,,,,,,,No,8-12 week process,Medium
Google,Staff SWE,Tier 2,,,,,,,No,IC track option,Medium
Microsoft,Engineering Manager,Tier 2,,,,,,,No,IDC roles,Medium
Amazon,Sr Manager SDE,Tier 2,,,,,,,No,LP heavy process,Medium
Uber,Engineering Manager,Tier 2,,,,,,,No,Payments team,Medium
Stripe,Engineering Manager,Tier 3,,,,,,,No,Direct payments match,High
PayPal,Engineering Manager,Tier 3,,,,,,,No,Chennai Bangalore,Medium
Visa,Sr Engineering Manager,Tier 3,,,,,,,No,Card network,Medium
Zepto,Engineering Manager,Tier 4,,,,,,,No,Hyper growth,Medium
Meesho,Engineering Manager,Tier 4,,,,,,,No,Scale play,Medium
Jupiter,Engineering Manager,Tier 4,,,,,,,No,Neobank fintech,Medium

